Date,Platform,Impressions,Clicks,Spend,Revenue,Likes,Shares,Comments
01-12-2023,Instagram,12000.00,450.00,"₹ 2,500.00","₹ 4,800.00",520.00,130.00,90.00
02-12-2023,Facebook,15000.00,600.00,"₹ 3,200.00","₹ 7,000.00",610.00,150.00,110.00
03-12-2023,Instagram,18000.00,750.00,"₹ 3,800.00","₹ 8,200.00",700.00,180.00,140.00
04-12-2023,Twitter,10000.00,300.00,"₹ 1,800.00","₹ 3,500.00",300.00,90.00,60.00
05-12-2023,Facebook,20000.00,820.00,"₹ 4,200.00","₹ 9,000.00",780.00,200.00,150.00
06-12-2023,Instagram,22000.00,900.00,"₹ 4,500.00","₹ 9,800.00",820.00,230.00,170.00
07-12-2023,Twitter,13000.00,350.00,"₹ 2,000.00","₹ 4,100.00",350.00,95.00,70.00
08-12-2023,Facebook,25000.00,1000.00,"₹ 5,000.00","₹ 11,000.00",900.00,260.00,200.00
09-12-2023,Instagram,27000.00,1100.00,"₹ 5,200.00","₹ 12,000.00",950.00,280.00,220.00
10-12-2023,Twitter,15000.00,420.00,"₹ 2,300.00","₹ 4,500.00",420.00,110.00,80.00
11-12-2023,Facebook,30000.00,1300.00,"₹ 6,000.00","₹ 13,500.00",1000.00,320.00,260.00
12-12-2023,Instagram,32000.00,1400.00,"₹ 6,500.00","₹ 15,000.00",1100.00,350.00,290.00
13-12-2023,Twitter,17000.00,480.00,"₹ 2,600.00","₹ 5,200.00",450.00,130.00,95.00
14-12-2023,Facebook,35000.00,1500.00,"₹ 7,000.00","₹ 16,500.00",1200.00,380.00,300.00
15-12-2023,Instagram,38000.00,1700.00,"₹ 7,800.00","₹ 18,500.00",1350.00,420.00,330.00
